Info 0    [12:45:47.182] Starting TS Server
Info 43   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/.eslint-TRH8qhOI :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 44   [12:45:49.003] Elapsed:: 0.0086669921875ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/.eslint-TRH8qhOI :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 45   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 46   [12:45:49.003] Elapsed:: 0.006583988666534424ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 47   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/.react-QnEAX1dK :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 48   [12:45:49.003] Elapsed:: 0.011125028133392334ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/.react-QnEAX1dK :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 49   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 50   [12:45:49.003] Elapsed:: 0.0048329830169677734ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/react :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 51   [12:45:49.003] DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
Info 52   [12:45:49.003] Elapsed:: 0.004208981990814209ms DirectoryWatcher:: Triggered with /Users/luca/Library/Caches/typescript/4.7/node_modules/@types/eslint :: WatchInfo: /Users/luca/Library/Caches/typescript/4.7/node_modules 1 undefined Project: /dev/null/autoImportProviderProject1* WatchType: Failed Lookup Locations
